"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","GFCFSECTOR","HH","PC_GFCF","A","1994",23.7318390158476,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","1995",22.5397485809385,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","1996",22.6138968409673,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","1997",21.0116553173367,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","1998",19.5450593836037,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","1999",19.5474700764519,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2000",19.226662747197,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2001",18.5750474847318,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2002",19.311788726789,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2003",18.8902820769658,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2004",18.9353381538412,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2005",18.2220971011728,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2006",17.6056305583412,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2007",16.5596467641361,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2008",16.317639534716,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2009",15.571661013109,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2010",15.6646905431857,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2011",16.1660202067123,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2012",16.0015211907824,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2013",16.5682837585139,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2014",15.492286379235,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2015",14.8866719935445,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2016",15.552192507891,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2017",15.2489995519348,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2018",14.1793057879295,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","1992",18.4186162392152,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","1993",16.0876834389274,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","1994",15.3585507330696,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","1995",16.8083596305939,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","1996",17.6659734991424,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","1997",18.2102998856602,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","1998",19.4051626378213,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","1999",20.7262255216428,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2000",22.1406509186352,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2001",23.8786692938209,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2002",23.5247086786766,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2003",24.6572217960122,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2004",22.1759104613979,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2005",23.8901960691202,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2006",23.0643044839091,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2007",21.2086490499943,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2008",19.4671903564007,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2009",20.4420500207356,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2010",20.5359657100421,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2011",24.5309268861161,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2012",24.5575464123205,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2013",25.7998168490056,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2014",25.3400026891637,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2015",23.5272168104463,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2016",16.2631559556595,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","1995",51.0960595074837,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","1996",50.7783498158736,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","1997",51.0987951953117,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","1998",51.7943218859921,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","1999",50.8401456570292,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2000",47.5022519941085,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2001",45.6547691822963,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2002",44.9466125804292,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2003",43.6083910978919,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2004",42.5699446844187,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2005",43.2057123022035,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2006",42.4351069414333,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2007",42.6948534874707,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2008",41.9317647093981,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2009",57.5300574922939,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2010",60.3724186524913,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2011",69.1300258898235,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2012",78.2136670918619,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2013",77.0498474613944,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2014",78.8716192170424,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2015",85.4884183140378,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2016",89.1876662888066,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2017",88.4382681087475,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2018",85.188019928606,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2019",90.5178452021955,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","1995",16.5524081420785,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","1996",13.596301112556,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","1997",13.5410423538972,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","1998",14.1439443305255,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","1999",12.4554366872501,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2000",14.8206911190583,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2001",13.4242006525895,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2002",13.8704692189006,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2003",26.1723372513671,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2004",17.4502780860097,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2005",18.0466954372358,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2006",18.1729201951981,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2007",15.7952640175611,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2008",17.9474017143746,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2009",21.7125253439172,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2010",18.6771056173473,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2011",16.6696262383047,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2012",15.8355073073578,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2013",14.5010717562716,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2014",16.12299838222,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2015",19.2513961474071,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2016",12.972359454962,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2017",13.4267363066168,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2018",15.7709216429238,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2019",16.4874040588912,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2003",64.5627912010139,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2004",62.4935989581548,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2005",66.4062334702418,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2006",64.0803084262117,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2007",63.0358242082973,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2008",65.2440389739897,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2009",63.8746988746839,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2010",71.8934480670238,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2011",70.8525846822016,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2012",74.3575589865104,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2013",75.2984272034375,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2014",73.740466584709,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2015",71.2760523691954,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2016",69.54855126384,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2017",69.1381263091253,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2018",70.8933194598761,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","1995",15.4595751157107,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","1996",14.304375253554,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","1997",11.6093595288968,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","1998",11.3607505713869,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","1999",11.3778410207627,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2000",10.3693778994739,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2001",9.74072285983893,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2002",11.1487645284815,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2003",10.3018549958227,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2004",10.1900177704395,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2005",12.7029846490592,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2006",12.709316310482,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2007",12.9939934817984,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2008",13.919657664667,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2009",15.0345496311143,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2010",15.0435027541312,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2011",13.4708542828937,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2012",12.9659829824851,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2013",13.2003923376248,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2014",13.0478841000521,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2015",13.1319284648403,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2016",12.886982378908,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2017",13.1548065176384,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2018",12.6905437088794,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2019",12.2817189596897,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","1994",22.1445095453268,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","1995",21.4152641154929,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","1996",21.6127482383088,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","1997",20.3734743336658,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","1998",20.7012895224454,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","1999",22.4304745521061,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2000",20.173575194194,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2001",20.4576541354033,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2002",20.6212515156536,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2003",19.2639049819295,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2004",17.5368321920541,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2005",16.283005200796,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2006",15.3250117866396,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2007",14.7912059118033,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2008",14.6599409819564,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2009",17.5073611970133,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2010",17.5455215832225,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2011",16.4269887353385,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2012",16.0646938648609,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2013",16.6084093319646,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2014",16.4473331611797,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2015",15.7020798556996,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2016",15.6477485898675,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2017",15.4827325512465,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2018",15.5863552047719,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","1992",6.85282661623921,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","1993",6.96467047296302,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","1994",7.61769292529672,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","1995",7.48723166478361,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","1996",7.57472714408233,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","1997",8.7515300634783,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","1998",9.18327999026121,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","1999",8.85380294963791,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2000",8.82455863755667,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2001",8.97913309163514,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2002",9.20681213325114,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2003",11.713414869172,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2004",12.246182777524,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2005",12.104389908983,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2006",11.6037836923747,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2007",11.1637174922895,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2008",11.4852718629396,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2009",12.3236944013781,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2010",12.3233246245164,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2011",10.930583773006,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2012",10.6897179406462,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2013",10.7113633860418,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2014",11.4263396689571,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2015",12.3946336951871,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2016",14.6479224324392,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","1995",10.3155462474257,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","1996",10.5108879275462,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","1997",9.83803191802479,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","1998",13.0725264178834,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","1999",17.7176468390401,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2000",21.112678581322,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2001",15.763395745523,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2002",18.0480733964172,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2003",16.8148783862675,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2004",16.3923356162255,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2005",16.8779775780187,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2006",14.621645917241,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2007",14.8840712277315,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2008",16.0943884056066,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2009",20.8387745239847,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2010",18.7479221990757,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2011",18.1531174721968,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2012",19.7159203347162,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2013",20.4690203655986,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2014",18.4451272576262,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2015",15.2404240305099,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2016",19.4461469579066,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2017",19.7191607469034,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2018",20.7580097241951,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2019",20.1302784475713,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","1995",25.3352386489729,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","1996",25.585670727501,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","1997",25.0547595603159,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","1998",24.6496092922394,
